id,course_id,start,end,course_type,category,interval
262,USTC/MOOC003/2014_T2,2014/7/31 7:30,2020/3/12 0:00,0,,2051 
1383,course-v1:TsinghuaX+00690242_1X_2014+2014_T2,2014/9/25 1:00,2020/2/25 16:00,0,,1980 
815,USTC/00691153X/2015_winter_vacation,2014/9/9 9:00,2020/2/9 9:00,0,,1979 
7171,course-v1:NUDT+520804502+sp,2017/6/1 8:00,,1,engineering,
818,USTC/00612642X/_,2014/9/22 9:00,2020/2/12 12:00,0,,1969 
819,USTC/80000901X/2014_T2,2014/9/25 8:30,2020/2/12 18:00,0,,1966 
817,USTC/10800032X/_,2014/9/26 0:30,2020/2/13 10:00,0,,1966 
816,USTC/30700313X/2014_T2,2014/10/1 8:30,2020/2/10 8:00,0,,1958 
1381,course-v1:TsinghuaX+30700313_2014X+2014_T2,2014/10/1 9:00,2020/2/10 0:00,0,,1958 
2823,course-v1:NEU+1305000901+2015_T1,2015/8/21 8:00,2020/12/25 0:00,0,,1953 
820,USTC/20220214X/_,2014/9/15 7:30,2020/1/19 8:00,0,,1952 
814,USTC/10610204X/2014_T2,2014/9/22 11:30,2020/1/19 0:00,0,,1945 
782,shanximooc/FAN001/2015_T1,2015/4/1 0:00,2020/4/1 0:00,0,,1827 
783,shanximooc/ENG001/2015_T1,2015/3/25 8:00,2020/3/25 0:00,0,,1827 
785,shanximooc/MY001/2015_T1,2015/4/7 12:00,2020/3/1 0:00,0,,1790 
1326,course-v1:MITx+15_390x+2014_T2,2015/5/22 0:00,2020/2/9 16:00,0,,1725 
1338,course-v1:TsinghuaX+10610204X+_,2015/5/29 13:00,2020/1/18 16:00,0,,1695 
4120,course-v1:test2+test2+20161,2011/1/1 8:00,2015/6/3 0:00,0,,1614 
8765,course-v1:DGUT+24520040+2016_T2,2016/12/15 8:00,2020/12/31 0:00,0,,1477 
3951,course-v1:CIE+XTHU00014X+2015_T2,2016/1/30 8:00,2020/1/30 0:30,0,,1461 
6936,course-v1:gxnun_TsinghuaX+20740042X+2016_T2,2016/8/8 0:00,2020/2/15 23:30,0,,1287 
12036,course-v1:studio-bzvtc+CS101+2017_T1,2017/9/1 8:00,2020/12/30 0:00,0,,1216 
4231,course-v1:HBUE+ZB1609+2015_T2,2015/12/10 8:00,2018/12/31 0:00,0,,1117 
8824,course-v1:spocdemo_TsinghuaX+00510888X+2016_T2,2016/12/21 0:00,2019/12/31 23:30,0,,1106 
8823,course-v1:spocdemo_TsinghuaX+00740043X+2016_T2,2016/12/21 0:00,2019/12/31 23:30,0,,1106 
8819,course-v1:spocdemo_TsinghuaX+00690242X+2016_T2,2016/12/21 0:00,2019/12/31 0:00,0,,1105 
9083,course-v1:TsinghuaX+01030132X+sp,2016/9/1 8:00,,1,history,
8822,course-v1:spocdemo_TsinghuaX+10610224X+2016_T2,2016/12/21 0:00,2019/12/31 0:00,0,,1105 
8820,course-v1:spocdemo_TsinghuaX+80512073X+2016_T2,2016/12/21 0:00,2019/12/31 0:00,0,,1105 
8821,course-v1:spocdemo_TsinghuaX+30640014X+2016_T2,2016/12/21 0:00,2019/12/31 0:00,0,,1105 
11428,course-v1:CQU+TSJYHG00017+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11462,course-v1:CQU+TSJYSSG00012+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11376,course-v1:CQU+TSJYHG00067+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11436,course-v1:CQU+TSJYHG00024+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
1815,course-v1:TsinghuaX+40040152X_tv+2015_T1,2015/3/6 8:00,,1,engineering,
11557,course-v1:CQU+TSJYSSG00017+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11466,course-v1:CQU+TSJYSSG00015+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11387,course-v1:CQU+TSJYHG00003+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11460,course-v1:CQU+TSJYSSG00011+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11459,course-v1:CQU+TSJYSSG00010+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
4270,course-v1:TsinghuaX+00310222X+sp,2016/8/1 8:00,,1,physics,
11556,course-v1:CQU+TSJYSSG00016+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11433,course-v1:CQU+TSJYHG00022+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11455,course-v1:CQU+TSJYSSG00008+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11449,course-v1:CQU+TSJYSSG00006+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11431,course-v1:CQU+TSJYHG00021+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11377,course-v1:CQU+TSJYHG00001+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11448,course-v1:CQU+TSJYSSG00005+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11439,course-v1:CQU+TSJYHG00026+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11562,course-v1:CQU+TSJYSSG00019+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
8637,course-v1:TsinghuaX+90640012X_p4+sp,2016/12/1 8:00,,1,foreign language,
11456,course-v1:CQU+TSJYSSG00009+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11366,course-v1:CQU+TSJYHG00068+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
8633,course-v1:TsinghuaX+20220332X_p1+sp,2016/12/1 12:00,,1,foreign language,
11454,course-v1:CQU+TSJYSSG00007+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11560,course-v1:CQU+TSJYSSG00018+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11380,course-v1:CQU+TSJYHG00065+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11465,course-v1:CQU+TSJYSSG00014+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11383,course-v1:CQU+TSJYHG00002+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11474,course-v1:CQU+TSJYSTG00032+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11447,course-v1:CQU+TSJYSSG00004+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11378,course-v1:CQU+TSJYHG00066+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11463,course-v1:CQU+TSJYSTG00034+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11470,course-v1:CQU+TSJYSTG00033+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11430,course-v1:CQU+TSJY+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11481,course-v1:CQU+TSJYSTG00030+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11438,course-v1:CQU+TSJYHG00025+2017_T1,2017/5/1 0:00,2020/5/1 0:00,0,,1096 
11403,course-v1:CQU+TSJYHG00048+2017_T1,2017/5/1 7:00,2020/5/1 0:00,0,,1096 
11495,course-v1:CQU+TSJYSSG00031+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11384,course-v1:CQU+TSJYHG00062+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11476,course-v1:CQU+TSJYSSG00038+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11551,course-v1:CQU+TSJYSTG00018+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11501,course-v1:CQU+TSJYSSG00023+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11446,course-v1:CQU+TSJYSSG00003+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11437,course-v1:CQU+TSJYHG00031+2017,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11404,course-v1:CQU+TSJYHG00011+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11487,course-v1:CQU+TSJYSTG00014+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11401,course-v1:CQU+TSJYHG00050+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11432,course-v1:CQU+TSJYSSG00002+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11394,course-v1:CQU+TSJYHG00056+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11389,course-v1:CQU+TSJYHG00059+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11489,course-v1:CQU+TSJYSTG00028+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11559,course-v1:CQU+TSJYIPG00007+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11444,course-v1:CQU+TSJY_HG00038+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11735,course-v1:ACCA+FA1_X+sp,2017/6/1 8:00,,1,economics,
11521,course-v1:CQU+TSJYSTG00024+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
8583,course-v1:TsinghuaX+30240184_p1+sp,2016/12/1 8:00,,1,computer,
11398,course-v1:CQU+TSJYHG00053+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11419,course-v1:CQU+TSJYHG00044+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11486,course-v1:CQU+TSJYSTG00029+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11461,course-v1:CQU+TSJYSSG00040+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
5021,course-v1:TsinghuaX+30670043X+sp,2017/6/1 8:00,,1,literature,
11555,course-v1:CQU+TSJYIPG00004+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11505,course-v1:CQU+TSJYSSG00020+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11493,course-v1:CQU+TSJYSSG00033+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11485,course-v1:CQU+TSJYSTG00013+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11409,course-v1:CQU+TSJYHG00012+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11500,course-v1:CQU+TSJYSSG00025+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11393,course-v1:CQU+TSJYHG00006+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11567,course-v1:CQU+TSJYIPG00012+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11458,course-v1:CQU+TSJYSTG00003+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11497,course-v1:CQU+TSJYSSG00028+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11471,course-v1:CQU+TSJYSTG00005+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11385,course-v1:CQU+TSJYHG00061+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11397,course-v1:CQU+TSJYHG00054+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11399,course-v1:CQU+TSJYHG00009+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11494,course-v1:CQU+TSJYSSG00032+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
8667,course-v1:FUDANx+ECON130007_01_P1+sp,2016/12/1 8:00,,1,economics,
11423,course-v1:CQU+TSJYHG00040+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11552,course-v1:CQU+TSJYIPG00001+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11468,course-v1:CQU+TSJYSSG00039+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
12331,course-v1:Yifang+Xyj102+2017_T1,2017/7/1 8:00,2020/7/1 0:00,0,,1096 
11478,course-v1:CQU+TSJYSTG00009+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11395,course-v1:CQU+TSJYHG00007+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
7197,course-v1:TsinghuaX+TsinghuaMandarin01+sp,2016/8/1 8:00,,1,foreign language,
11418,course-v1:CQU+TSJYHG00045+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11502,course-v1:CQU+TSJYSSG00022+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11475,course-v1:CQU+TSJYSTG00008+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11499,course-v1:CQU+TSJYSSG00026+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11422,course-v1:CQU+TSJYHG00041+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11588,course-v1:CQU+TSJYSSG00034+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11477,course-v1:CQU+TSJYSTG00031+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11602,course-v1:ACCA+MA2_X+sp,2017/6/1 8:00,,1,economics,
11396,course-v1:CQU+TSJYHG00055+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11492,course-v1:CQU+TSJYSTG00017+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11558,course-v1:CQU+TSJYIPG01006+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11410,course-v1:CQU+TSJYHG00013+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11525,course-v1:CQU+TSJYSTG00023+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11405,course-v1:CQU+TSJYHG00047+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
5880,course-v1:MITx+6_00_1x+sp,2016/11/4 8:00,,1,computer,
8650,course-v1:TsinghuaX+00690212X_p1+sp,2016/12/1 8:00,,1,history,
11491,course-v1:CQU+TSJYSTG00016+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11443,course-v1:CQU+TSJYHG00027+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11388,course-v1:CQU+TSJYHG00004+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11434,course-v1:CQU+TSJYHG00032+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11391,course-v1:CQU+TSJYHG00058+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11473,course-v1:CQU+TSJYSTG00007+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11390,course-v1:CQU+TSJYHG00005+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11441,course-v1:CQU+TSJYHG00029+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11392,course-v1:CQU+TSJYHG00057+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11457,course-v1:CQU+TSJYSSG20027+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11537,course-v1:CQU+TSJYSTG00019+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11425,course-v1:CQU+TSJYHG00015+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11442,course-v1:CQU+TSJYHG00028+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11503,course-v1:CQU+TSJYSTG00025+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11407,course-v1:CQU+TSJYHG00046+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11482,course-v1:CQU+TSJYSSG00037+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11553,course-v1:CQU+TSJYIPG01002+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11490,course-v1:CQU+TSJYSSG00035+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11382,course-v1:CQU+TSJYHG00063+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11420,course-v1:CQU+TSJYHG00043+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11483,course-v1:CQU+TSJYSTG00012+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11488,course-v1:CQU+TSJYSTG00015+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11480,course-v1:CQU+TSJYSTG00010+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11426,course-v1:CQU+TSJYHG00037+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11472,course-v1:CQU+TSJYSTG00006+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11421,course-v1:CQU+TSJYHG00042+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11469,course-v1:CQU+TSJYSTG00004+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11496,course-v1:CQU+TSJYSSG00030+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11424,course-v1:CQU+TSJYHG00039+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11484,course-v1:CQU+TSJYSSG00036+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11535,course-v1:CQU+TSJYSTG00020+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11561,course-v1:CQU+TSJYIPG00008+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11400,course-v1:CQU+TSJYHG00052+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11533,course-v1:CQU+TSJYSTG00021+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11429,course-v1:CQU+TSJYSSG00001+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11440,course-v1:CQU+TSJYHG00030+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11566,course-v1:CQU+TSJYIPG00011+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11427,course-v1:CQU+TSJYHG00016+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11411,course-v1:CQU+TSJYHG00014+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11564,course-v1:CQU+TSJYIPG00010+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11554,course-v1:CQU+TSJYIPG00003+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
10992,course-v1:ZZUX+2017041801X+sp,2017/5/8 8:00,,1,,
11386,course-v1:CQU+TSJYHG00060+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11563,course-v1:CQU+TSJYIPG00009+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11452,course-v1:CQU+TSJYSTG00002+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11723,course-v1:HITx+13SC03100710_2x+sp,2017/6/1 8:00,,1,computer,
11504,course-v1:CQU+TSJYSSG00021+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11450,course-v1:CQU+TSJYSTG00001+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11402,course-v1:CQU+TSJYHG00010+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
11381,course-v1:CQU+TSJYHG00064+2017_T1,2017/5/1 8:00,2020/5/1 0:00,0,,1096 
12228,course-v1:fxzx+2020yw+2017A,2017/7/1 8:00,2020/6/30 0:00,0,,1095 
9404,course-v1:ZK+06962+J,2017/1/1 8:00,2020/1/1 0:00,0,,1095 
9397,course-v1:ZK+04741+J,2017/1/1 8:00,2020/1/1 0:00,0,,1095 
9392,course-v1:ZK+02335+J,2017/1/1 8:00,2020/1/1 0:00,0,,1095 
9393,course-v1:ZK+02379+J,2017/1/1 8:00,2020/1/1 0:00,0,,1095 
9398,course-v1:ZK+04742+J,2017/1/1 8:00,2020/1/1 0:00,0,,1095 
9383,course-v1:ZK+00712+J,2017/1/1 8:00,2020/1/1 0:00,0,,1095 
11464,course-v1:CQU+TSJYSSG00013+2017_T1,2017/5/9 0:00,2020/5/1 0:00,0,,1088 
11435,course-v1:CQU+TSJYHG00023+2017_T1,2017/5/12 0:00,2020/5/1 0:00,0,,1085 
11498,course-v1:CQU+TSJYSTG00027+2017_T1,2017/5/12 8:00,2020/5/1 0:00,0,,1085 
11530,course-v1:CQU+TSJYSTG00022+2017_T1,2017/5/13 8:00,2020/5/1 0:00,0,,1084 
5483,course-v1:VPC_T_TsinghuaX+30240184X+2016_T1,2015/3/3 8:00,2017/12/31 0:00,0,,1034 
4515,course-v1:TsinghuaX+20140064X+sp,2016/8/1 8:00,,1,engineering,
1427,course-v1:TsinghuaX+MOOC101_2014+2014_T2,2015/6/1 8:00,2018/3/11 0:00,0,,1014 
260,FUDAN/20220214X/2014_T2,2014/6/12 0:00,2016/12/31 0:00,0,,933 
12188,course-v1:Yifang+tech101+2017_T1,2017/6/26 8:00,2020/1/1 23:30,0,,920 
2047,course-v1:TsinghuaX+80512073X+_2015_T2,2015/7/13 0:00,2017/12/31 0:00,0,,902 
4195,course-v1:TsinghuaX-wut+00612642X+2015_T2,2014/9/22 9:00,2017/2/12 12:00,0,,874 
6935,course-v1:gxnun_PekingX+Peking001x+2016_T2,2016/8/8 0:00,2018/12/28 0:00,0,,872 
4152,course-v1:TsinghuaX-Chuange+30700313X+2015_T2,2015/3/4 9:00,2017/7/21 0:00,0,,870 
232,USTC/MOOC001/2014_T2,2014/8/20 8:00,2016/12/31 0:00,0,,864 
3255,course-v1:yzu-TsinghuaX+20220214X+2015_T2,2014/9/15 8:00,2017/1/19 8:00,0,,857 
4147,course-v1:TsinghuaX-Chuange+80512073X+2015_T2,2014/10/10 0:00,2017/1/31 23:30,0,,845 
10586,course-v1:NUDT+2017032102+2017_T1,2017/5/10 8:00,,1,engineering,
5000,course-v1:TsinghuaX+10421094X_2015_2+sp,2015/9/23 8:00,,1,math,
4199,course-v1:TsinghuaX-wut+80512073X+2015_T2,2014/10/10 0:00,2017/1/31 23:30,0,,845 
10301,course-v1:Tsinghua+02070012+2017_T1,2017/3/15 17:30,2019/6/30 0:00,0,,836 
212,JLU/DKW004/2014_T2,2014/9/25 0:00,2016/12/31 0:00,0,,828 
209,JLU/DKW001/2014_T2,2014/9/25 9:00,2016/12/31 0:00,0,,828 
4150,course-v1:ZUEL-Chuange+B0680090+2015_T2,2014/9/30 8:00,2016/12/31 23:59,0,,824 
1414,course-v1:TestVpc+10610193X+2015_T2,2015/6/13 0:00,2017/9/13 0:00,0,,823 
766,TestVpc/MOOC101/2015_T1,2014/12/12 0:00,2017/3/12 0:00,0,,821 
4198,course-v1:MiTx-wut+15_390x4+2015_T2,2014/11/22 8:00,2017/2/10 0:00,0,,811 
4146,course-v1:MITx-Chuange+15_390x3+2015_T2,2014/11/22 8:00,2017/2/10 0:00,0,,811 
3482,course-v1:BerkeleyX+CS169_1x1+2015_T2,2014/4/21 0:00,2016/6/30 0:00,0,,801 
4151,course-v1:TsinghuaX-Chuange+THU00022X+2015_T2,2015/5/11 20:00,2017/7/17 0:00,0,,797 
688,tsinghuaSEM/00510888X/2015_T1,2013/1/1 8:00,2015/3/2 0:00,0,business,790 
3164,course-v1:trial+cs001+2015_T2,2015/12/2 0:00,2017/12/31 0:00,0,,760 
249,FUDAN/CFD004_1/2014_T2,2014/9/23 8:00,2016/10/19 0:00,0,,757 
3475,course-v1:TsinghuaX-cug+80512073X+2015_T2,2014/10/10 0:00,2016/10/31 23:30,0,,753 
1476,course-v1:ThtfSEM+THTF_3_01+2015_06,2015/6/9 20:00,2017/6/30 23:30,0,,752 
755,LZU/MOOC101/2015_T1,2014/12/12 0:00,2016/12/31 0:00,0,,750 
3481,course-v1:MITx-cug+15_390x1+2015_T2,2014/11/22 8:00,2016/12/10 0:00,0,,749 
1581,course-v1:ThtfSEM+THTF_5_01+2015_06,2015/6/15 18:00,2017/6/30 12:00,0,,746 
3484,course-v1:TsinghuaX-cug+20220214X+2015_T2,2014/9/15 8:00,2016/9/19 8:00,0,,735 
10214,course-v1:UBCx+SoftEngPrjx+1T2018,2018/3/6 8:00,2020/3/6 8:00,0,,731 
4200,course-v1:TsinghuaX-wut+00740043X+2015_T2,2015/3/2 9:00,2017/3/2 2:00,0,,731 
