,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
37,23,26,28,1,9,0,0,0,0,0,0,0,0,0,0,3,5,1,1,0,8
38,110,55,62,3,14,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,9
39,40,53,40,1,11,0,0,0,0,0,0,0,0,0,0,11,22,3,0,0,9
40,11,21,14,5,18,0,0,0,0,0,0,0,0,0,0,13,28,13,0,0,12
41,11,35,32,9,12,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,15
42,21,20,9,0,18,0,0,0,0,0,0,0,0,0,0,10,32,11,0,0,9
43,123,182,179,70,74,0,0,0,0,0,0,0,0,0,0,45,172,0,0,0,83
44,12,30,35,3,13,0,0,0,0,0,0,0,0,0,0,10,27,0,0,0,15
45,6,20,15,3,8,0,0,0,0,0,0,0,0,0,0,18,29,4,0,0,13
46,210,36,42,0,10,0,0,0,0,0,0,0,0,0,0,8,15,0,0,0,1
47,6,22,20,1,15,0,0,0,0,0,0,0,0,0,0,20,31,17,6,6,3
48,3,12,8,4,7,0,0,0,0,0,0,0,0,0,0,16,22,0,5,5,17
49,10,63,60,1,38,3,0,0,0,0,0,0,0,0,0,33,76,7,2,2,5
50,136,19,5,1,21,0,0,0,0,0,0,0,0,0,0,20,39,2,13,7,31
51,27,53,39,1,23,0,0,0,0,0,0,1,0,0,0,21,50,1,18,2,29
52,42,98,75,3,17,0,0,0,0,0,0,0,0,0,0,12,37,11,2,2,18
53,0,24,16,5,20,0,0,0,0,0,0,0,0,0,0,9,35,0,0,0,17
54,1,38,38,2,8,0,0,0,0,0,0,0,0,0,0,7,22,1,1,0,12
55,31,24,15,3,23,0,0,0,0,0,0,0,0,0,0,20,48,2,0,0,15
56,15,28,43,0,26,0,0,0,0,0,0,0,0,0,0,18,51,2,2,2,31
57,9,29,21,1,7,0,0,0,0,0,0,0,1,0,0,18,21,0,6,11,15
58,7,55,48,5,13,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,7
59,33,45,33,1,22,0,0,0,0,0,0,0,0,0,0,9,39,39,2,1,24
60,2,50,52,1,6,0,0,0,0,0,0,0,0,0,0,3,5,0,1,0,5
61,1,24,18,1,23,0,0,0,0,0,0,0,0,0,0,19,50,0,0,4,15
62,26,300,306,0,13,0,0,0,0,0,0,0,0,0,0,11,21,1,1,1,3
63,14,22,12,4,11,0,0,0,0,0,0,0,0,0,0,8,22,0,0,0,8
64,14,17,14,6,10,10,9,1,0,12,2,0,0,0,0,2,3,0,0,0,24
65,0,0,0,0,14,34,131,0,0,118,2,0,2,0,0,25,56,0,3,27,1
66,1,46,13,71,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
67,23,33,32,2,20,11,16,2,0,22,5,0,0,0,0,8,34,0,4,2,31
68,33,82,65,3,34,20,30,1,0,19,8,0,0,0,0,10,36,2,4,4,27
69,21,74,56,10,25,3,0,1,0,0,0,0,0,0,0,9,59,4,0,0,31
70,105,50,62,0,18,11,1,0,0,2,0,5,15,0,0,64,76,0,69,0,6
71,15,24,13,8,15,1,0,0,0,0,0,0,0,0,0,4,22,2,0,0,13
72,8,15,11,1,16,12,15,0,0,4,0,0,0,0,0,10,25,1,2,1,1
73,0,10,6,1,12,10,15,0,0,23,7,0,0,0,0,5,17,5,1,1,17
74,32,32,24,6,22,6,5,0,0,7,1,0,0,0,0,1,21,2,0,0,22
75,66,57,42,3,59,33,26,29,0,20,8,0,0,0,0,14,79,1,3,5,93
76,21,84,72,6,38,13,31,0,0,20,8,0,0,0,0,5,43,0,3,2,3
77,66,129,124,11,46,39,99,0,0,74,10,0,5,0,0,20,64,0,10,3,5
78,46,39,13,3,32,26,61,17,0,48,16,0,0,0,0,11,46,0,2,5,23
79,15,88,72,10,30,17,19,0,0,17,14,0,0,0,0,6,65,7,1,0,43
80,11,24,16,2,16,18,46,0,0,44,5,0,0,0,0,11,33,2,1,4,33
81,2,19,15,2,14,9,9,6,0,7,3,0,0,0,0,3,16,1,0,0,18
82,39,35,29,4,13,1,0,0,0,0,0,0,0,0,0,1,15,2,0,1,16
83,23,88,82,8,32,4,0,0,0,0,0,0,0,0,0,3,22,6,1,0,18
84,1,22,7,1,24,11,21,0,0,8,6,0,0,0,0,6,39,0,1,1,36
85,32,22,22,3,7,4,7,2,0,6,0,0,0,0,0,3,12,2,0,3,1
86,12,185,188,3,16,0,0,0,0,0,0,0,0,0,0,10,33,1,0,0,5
87,5,18,8,5,19,9,20,2,0,6,9,0,0,0,0,4,21,1,1,1,1
88,20,39,33,2,24,21,36,3,0,20,4,0,0,0,0,7,25,0,2,1,23
89,13,27,18,5,43,18,29,5,0,18,11,0,0,0,0,7,37,22,1,2,44
90,26,19,19,0,12,10,10,0,0,3,1,0,0,0,0,7,34,0,0,3,17
91,14,46,43,70,17,33,23,0,0,23,34,0,0,0,0,17,59,0,0,0,30
92,68,90,123,10,79,50,28,0,0,17,8,0,0,0,0,10,242,0,10,4,107
93,89,86,105,4,84,47,81,0,0,26,49,0,0,0,0,28,164,0,0,16,96
94,1,20,23,1,13,10,4,0,0,10,3,0,0,0,0,18,29,0,0,2,13
95,40,67,74,7,37,19,13,0,0,14,9,0,0,0,0,12,63,13,2,0,41
96,15,25,22,4,17,3,0,0,0,0,0,0,0,0,0,4,22,2,0,0,3
97,2,21,22,5,18,0,0,0,0,0,0,0,0,0,0,2,28,2,0,0,16
98,22,52,57,3,25,11,6,0,0,15,8,0,0,0,0,20,63,0,2,0,30
99,94,47,61,1,25,7,16,0,0,10,12,0,0,0,0,2,38,2,0,3,12
100,19,24,24,2,16,11,21,0,0,10,4,0,0,0,0,8,41,4,7,9,18
101,120,61,64,6,29,32,68,0,0,19,28,0,0,0,0,41,100,0,0,17,46
102,22,50,66,2,13,5,12,0,0,4,7,0,0,0,0,2,13,0,0,2,0
103,1,1,38,0,61,144,25,0,0,76,40,0,0,0,0,20,134,0,0,19,77
104,48,90,87,8,29,20,26,0,0,5,12,0,0,0,0,2,70,0,0,0,27
105,8,40,49,0,12,0,0,0,0,0,0,0,0,0,0,9,20,5,0,0,8
106,0,0,0,0,0,58,0,0,0,22,50,0,0,0,0,0,0,0,0,0,0
107,0,54,46,5,12,1,0,0,0,0,0,0,0,0,0,4,12,0,0,0,9
108,15,35,35,2,15,3,4,0,0,0,1,0,0,0,0,8,31,0,0,0,0
109,1,29,36,3,41,14,19,0,0,5,11,0,0,0,0,2,72,4,0,2,34
110,24,41,49,2,22,11,24,0,0,6,18,0,0,0,0,35,62,2,0,0,14
111,0,0,0,0,0,179,0,0,0,80,70,0,0,0,0,0,0,1,0,0,0
112,0,0,0,0,0,163,0,0,0,36,18,0,0,0,0,0,0,0,0,0,0
113,180,30,44,1,23,26,37,0,0,5,7,0,0,0,0,0,0,0,0,0,17
114,13,4,3,0,7,10,11,0,0,7,7,0,0,0,0,13,34,0,0,2,8
115,0,67,74,81,76,24,63,0,0,51,34,0,0,0,0,24,144,0,4,14,74
116,74,29,28,5,26,0,0,0,0,0,0,0,0,0,0,10,44,3,0,0,16
117,2,10,11,0,9,15,6,0,0,12,1,0,3,0,0,46,43,2,41,12,22
118,13,66,81,4,40,14,31,0,0,13,28,0,0,0,0,2,67,2,2,3,29
119,23,47,54,1,14,6,5,0,0,8,0,0,0,0,0,2,16,0,0,0,6
120,0,9,34,0,25,109,27,0,0,54,65,0,0,0,0,14,69,0,4,21,33
121,133,76,68,1,57,50,77,0,0,9,55,0,0,0,0,2,118,0,5,21,61
122,0,14,14,8,17,8,7,0,0,2,11,0,0,0,0,4,21,0,0,0,17
123,0,0,0,0,0,128,0,0,0,27,6,0,0,0,0,0,0,0,0,0,0
124,38,25,24,3,7,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,5
125,0,0,0,0,0,214,0,0,0,50,58,0,0,0,0,0,0,0,0,0,0
126,20,13,26,0,8,2,18,0,0,2,7,0,0,0,0,4,15,0,0,0,5
127,3,3,8,0,14,13,0,0,0,0,0,0,0,0,0,34,64,30,2,0,29
128,0,0,12,0,12,132,125,0,0,75,132,0,0,0,0,14,42,0,0,8,25
129,18,45,50,8,29,12,5,0,0,9,13,0,0,0,0,7,82,4,0,0,6
130,0,0,0,0,0,114,0,0,0,25,31,0,0,0,0,0,0,0,0,0,0
131,153,86,83,6,63,40,104,0,0,33,79,0,0,0,0,0,117,0,0,5,60
132,0,0,1,0,2,69,8,0,0,23,17,0,0,0,0,14,12,0,0,6,6
133,0,10,14,1,13,10,0,0,0,2,0,0,0,0,0,8,29,6,0,4,17
134,46,166,207,2,24,10,0,0,0,1,0,0,0,0,0,13,72,0,4,2,26
135,102,111,143,6,66,40,92,0,0,27,50,0,1,0,0,50,163,0,8,22,84
136,8,48,42,2,17,8,0,0,0,0,0,1,0,0,0,31,29,17,4,0,20
137,0,23,22,13,53,27,13,0,0,10,4,0,0,0,0,0,82,0,0,6,42
138,2,24,24,5,14,13,2,0,0,7,7,0,0,0,0,0,27,0,0,0,19
139,16,39,37,1,23,1,0,0,0,0,0,0,0,0,0,2,30,0,0,0,15
140,42,253,257,7,37,19,33,0,0,24,17,0,2,0,0,51,96,2,22,33,54
141,79,61,62,9,38,29,38,0,0,17,12,0,0,0,0,8,82,0,4,0,42
142,8,16,21,0,11,7,0,0,0,0,0,0,0,0,0,6,25,12,2,2,14
143,14,82,89,1,19,17,40,0,0,13,31,0,0,0,0,0,47,0,0,1,24
144,15,34,37,4,7,7,3,0,0,8,3,0,0,0,0,0,0,0,0,0,8
145,0,2,2,0,1,81,0,0,0,28,30,0,0,0,0,2,2,5,0,0,0
146,90,107,118,7,70,45,63,0,0,27,50,0,1,0,0,60,195,0,6,25,100
147,96,320,334,4,57,12,30,0,0,9,6,0,0,0,0,8,81,4,8,12,1
148,0,0,0,0,0,129,0,0,0,52,9,0,0,0,0,0,0,0,0,0,0
149,3,21,19,7,19,0,0,0,0,0,0,0,0,0,0,3,28,4,0,0,8
150,35,52,66,7,13,11,8,0,0,10,0,0,0,0,0,2,15,0,1,2,8
151,8,39,33,6,32,12,14,0,0,6,10,0,0,0,0,0,44,0,0,0,24
152,13,30,35,1,30,53,110,0,0,45,25,1,5,0,0,27,103,2,18,18,51
153,149,55,81,0,21,43,169,0,0,70,107,0,0,0,0,17,90,0,0,59,58
154,35,75,78,15,24,193,51,0,0,90,137,1,2,0,0,12,67,0,6,2,31
155,10,33,33,8,68,27,15,0,0,4,3,0,0,0,0,2,92,0,0,6,5
156,19,64,72,3,21,2,0,0,0,0,0,0,0,0,0,6,41,0,2,0,21
157,16,50,66,3,38,14,22,0,0,4,5,0,0,0,0,13,61,15,2,7,25
158,18,95,114,4,29,192,3,0,0,80,53,0,1,0,0,36,71,2,8,47,3
159,9,93,99,2,5,2,1,0,0,2,0,0,0,0,0,5,6,0,0,2,4
160,0,16,27,1,4,6,15,0,0,3,12,0,0,0,0,2,18,0,0,0,4
161,8,42,44,6,33,45,25,0,0,32,26,0,2,0,0,74,93,0,14,20,13
162,1,17,14,1,16,2,0,0,0,0,0,0,0,0,0,7,25,8,2,2,13
163,45,76,114,0,63,29,68,0,0,48,88,0,0,0,0,4,113,0,2,2,33
164,90,129,134,23,80,82,26,0,0,37,25,0,0,0,0,32,182,1,4,30,84
165,0,0,0,0,0,198,0,0,0,76,100,0,0,0,0,0,0,0,0,0,0
166,21,16,19,1,17,13,7,0,0,3,8,0,0,0,0,2,18,0,4,2,0
167,10,69,81,2,8,7,0,5,0,2,0,0,0,0,0,6,21,0,2,0,13
168,2,26,27,715,14,0,0,0,0,0,0,0,0,0,0,2,18,2,0,0,10
169,24,50,43,5,24,6,2,1,0,4,0,0,0,0,0,20,49,0,9,8,28
170,26,73,76,2,14,1,3,0,0,2,0,0,0,0,0,10,38,0,4,8,0
171,4,17,14,3,13,2,2,1,0,0,1,0,0,0,0,12,29,6,2,0,11
172,49,39,54,7,23,1,2,0,0,0,0,0,0,0,0,13,56,4,2,5,28
173,3,33,39,3,12,0,0,0,0,0,0,0,0,0,0,4,16,2,0,0,7
174,9,25,27,2,17,0,0,0,0,0,0,0,0,0,0,10,34,0,0,0,7
175,17,31,33,1,12,2,2,2,0,0,0,0,0,0,0,4,27,4,0,0,10
176,29,20,20,3,27,2,4,2,0,1,0,0,6,0,2,5,28,3,10,3,16
177,3,62,63,4,9,6,1,4,0,0,1,0,2,0,0,10,51,0,14,8,5
178,8,25,29,6,8,2,1,0,0,0,2,0,0,0,0,2,20,6,0,2,8
179,17,82,86,2,15,0,0,0,0,0,0,0,0,0,0,13,23,5,2,4,2
180,3,18,22,4,17,1,0,0,0,0,0,0,0,0,0,0,29,0,0,0,13
181,16,20,17,0,13,1,2,0,0,0,0,0,0,0,0,17,22,5,2,1,14
182,8,244,236,4,17,2,1,0,0,2,0,0,0,0,0,10,27,0,2,2,19
183,91,146,146,6,17,3,4,0,0,2,0,0,0,0,0,22,67,9,10,0,6
184,0,39,40,11,24,42,14,29,0,5,13,0,0,0,0,28,94,0,2,0,55
185,5,20,24,3,30,2,0,0,0,0,0,0,0,0,0,8,51,0,0,0,22
186,295,61,56,3,33,14,7,1,0,8,3,0,0,0,0,4,112,4,5,8,52
187,0,0,1,0,1,9,28,0,0,4,16,0,0,0,0,4,37,2,0,0,14
188,8,57,59,0,13,21,0,10,0,4,10,0,0,0,0,27,53,0,6,2,21
189,5,10,15,2,7,6,1,0,0,1,0,0,0,0,0,0,39,0,0,2,15
190,12,22,21,1,19,2,0,0,0,0,0,0,0,0,0,16,31,2,0,4,7
191,2,13,24,7,31,13,9,0,0,4,6,0,0,0,0,2,45,2,0,0,28
192,16,273,283,32,23,3,4,2,0,5,0,0,0,0,0,10,61,4,6,0,30
193,48,7,8,6,9,7,10,1,0,5,6,0,0,0,0,0,26,0,2,0,10
194,103,75,93,0,36,7,5,3,0,3,2,0,0,0,0,25,125,4,23,0,16
195,4,35,32,6,32,6,4,0,0,1,2,0,0,0,0,2,57,2,0,4,26
196,0,17,13,8,21,7,8,0,0,5,15,0,0,0,0,0,47,0,2,0,27
197,20,108,110,6,29,7,6,0,0,4,3,0,0,0,0,16,51,4,0,2,23
198,141,87,93,17,49,14,8,3,0,0,2,0,1,0,0,10,133,0,13,4,45
199,3,37,37,4,15,0,0,0,0,0,0,0,0,0,0,2,24,4,0,2,12
200,0,0,1,28,1,11,36,0,0,4,41,0,0,0,0,8,26,0,0,0,12
201,28,82,83,10,29,21,6,0,0,5,6,0,0,0,0,4,65,0,0,0,49
202,0,0,0,0,1,13,7,0,0,5,5,0,0,0,0,19,36,0,2,14,3
203,45,22,27,1,28,13,7,0,0,2,7,0,0,0,0,8,61,2,6,8,36
204,79,122,129,8,23,9,2,0,0,3,0,0,1,0,0,1,65,0,10,5,20
205,0,0,0,0,0,10,20,0,0,3,10,0,0,0,0,9,39,11,2,16,6
206,213,59,83,5,25,16,7,0,0,7,0,1,0,0,0,2,65,2,4,4,38
207,0,0,1,0,1,10,16,1,0,2,13,0,0,0,0,0,40,2,0,0,17
208,4,13,12,2,8,6,2,0,0,0,8,0,0,0,0,8,31,2,0,8,17
209,58,151,152,3,51,10,2,0,0,4,1,0,0,0,0,2,68,2,0,10,28
210,11,56,79,6,46,38,6,5,0,13,28,0,0,0,0,10,141,0,4,18,71
211,0,0,1,0,1,15,7,0,0,14,5,0,0,0,0,8,25,2,0,35,18
212,1,26,31,12,31,13,7,0,0,9,0,0,1,0,0,50,112,5,19,18,9
213,26,26,54,1,29,14,5,0,0,4,0,0,0,0,0,16,86,0,2,0,0
214,22,90,93,15,74,2,4,0,0,2,3,0,0,0,0,2,121,2,2,2,17
215,1,1,1,0,14,4,18,0,0,3,10,0,0,0,0,14,54,0,2,10,13
216,19,51,58,0,9,0,0,0,0,0,0,0,0,0,0,5,44,5,0,1,11
217,3,17,18,12,9,1,1,2,0,1,1,2,0,0,0,5,28,6,5,1,15
218,0,11,11,2,9,11,3,6,0,5,5,0,0,0,0,14,23,2,0,0,14
219,143,85,85,9,22,8,2,2,0,3,1,0,0,0,0,6,53,0,0,6,32
220,30,23,30,6,30,11,5,6,0,1,1,0,0,0,0,3,72,0,4,8,18
221,66,38,66,9,45,7,5,0,0,5,0,0,0,0,0,7,94,2,2,5,4
222,30,43,58,134,35,19,7,6,0,4,6,0,0,0,0,0,0,0,0,0,50
223,4,8,30,1,33,15,4,1,0,5,0,0,0,0,0,4,77,2,0,0,2
224,0,20,22,8,18,4,4,0,0,1,0,0,0,0,0,2,37,2,4,4,20
225,10,28,36,592,28,21,5,1,0,9,1,0,0,0,0,8,68,0,0,4,43
226,49,44,45,0,30,7,2,0,0,2,0,0,0,0,0,19,68,6,0,4,34
227,44,8,14,0,10,23,3,9,0,3,1,0,0,0,0,0,23,0,4,4,2
228,14,7,20,0,9,20,12,0,0,4,12,0,0,0,0,25,62,6,16,8,35
229,0,29,18,6,10,2,1,0,0,0,0,0,0,0,0,2,33,4,10,0,2
230,11,45,42,9,38,18,4,0,0,3,2,0,0,0,0,2,104,2,0,0,49
231,48,75,67,12,46,17,6,4,0,6,2,0,2,0,0,64,142,2,6,4,46
232,11,31,36,2,13,0,0,0,0,0,0,0,0,0,0,0,22,2,2,0,7
233,16,35,44,9,21,13,4,2,0,5,8,0,0,0,0,9,71,2,0,13,36
234,33,67,70,3,43,7,1,0,0,6,0,0,0,0,0,6,76,2,6,0,35
235,96,93,122,10,39,10,14,50,0,3,12,0,0,0,0,4,120,4,4,4,3
236,25,39,47,8,43,26,15,7,0,7,14,0,0,0,0,16,159,2,11,6,67
237,8,132,128,9,68,10,7,0,0,7,3,0,0,0,0,4,139,0,0,11,72
238,15,60,64,22,46,2,7,0,0,3,4,0,0,0,0,2,89,2,0,0,44
239,0,38,42,13,38,10,8,0,0,5,0,0,0,0,0,11,96,2,2,2,52
240,26,137,117,6,18,6,11,2,0,4,8,0,0,0,0,13,52,17,0,4,5
241,23,53,51,17,40,12,10,0,0,3,10,0,0,0,0,47,140,0,9,14,72
242,69,79,101,4,38,15,22,6,0,2,20,0,0,0,0,9,112,4,6,0,48
243,32,77,79,12,65,12,12,0,0,4,13,0,0,0,0,8,133,2,2,2,70
244,49,20,24,4,12,0,0,0,0,0,0,0,0,0,0,14,27,3,0,2,7
245,12,33,30,3,26,9,2,4,0,3,11,0,0,0,0,10,38,6,0,0,16
246,7,99,97,7,17,4,1,0,0,2,0,0,0,0,0,12,38,6,2,2,23
247,18,7,7,0,16,7,6,5,0,2,0,0,0,0,0,2,60,2,4,13,31
248,46,63,92,2,74,7,14,0,0,5,5,0,0,0,0,32,124,0,10,15,5
249,31,20,28,6,18,7,15,1,0,5,6,0,0,0,0,9,59,2,3,10,4
250,3,15,16,6,14,0,0,0,0,0,0,0,0,0,0,14,34,0,2,0,16
251,14,62,74,11,74,14,10,1,0,2,7,1,0,0,0,0,135,0,4,4,5
252,1,11,10,2,13,8,2,0,0,1,1,0,0,0,0,14,49,2,2,4,3
253,372,121,119,18,63,5,5,4,0,1,2,0,0,0,0,12,106,2,2,3,46
254,4,38,39,6,56,4,5,0,0,4,1,0,0,0,0,2,97,4,6,9,44
255,13,20,19,1,14,3,0,1,0,0,0,0,0,0,0,18,32,4,0,0,15
256,0,10,5,866,8,0,0,0,0,0,0,0,0,0,0,2,18,3,0,0,7
257,15,47,44,46,18,2,0,0,0,0,0,0,0,0,0,4,59,3,0,0,24
258,14,13,16,2,13,31,8,6,0,17,9,0,0,0,0,2,24,0,0,4,10
259,17,83,78,23,24,24,8,0,0,17,10,5,1,0,0,14,54,0,4,2,30
260,70,81,99,6,32,17,14,1,0,24,5,0,0,0,0,8,80,18,4,0,44
261,3,27,23,0,8,31,3,10,0,10,6,0,0,0,0,4,12,0,2,2,7
262,16,85,94,7,26,11,3,1,0,2,0,2,8,0,0,27,114,16,55,2,38
263,1,22,22,5,30,2,0,0,0,0,0,0,0,0,0,0,59,0,0,0,31
264,7,17,22,3,26,46,0,14,0,19,10,0,0,0,0,12,50,4,4,4,22
265,1,21,20,5,20,9,14,6,0,4,4,0,0,0,0,4,28,0,0,0,2
266,38,88,99,6,13,22,20,0,0,14,5,1,9,0,0,22,62,0,26,6,30
267,0,0,13,0,22,22,6,2,0,1,2,0,0,0,0,15,59,0,1,2,40
268,1,14,14,1,15,7,9,2,0,6,4,0,0,0,0,12,22,2,0,0,10
269,5,112,111,7,25,14,10,22,0,13,11,0,0,0,0,6,38,0,2,4,25
270,14,25,29,3,10,0,0,0,0,0,0,0,0,0,0,2,14,2,0,0,9
271,7,16,36,5,15,7,0,0,0,0,0,0,0,0,0,0,43,3,0,0,11
272,24,15,15,1,7,1,0,0,0,0,0,0,0,0,0,10,22,7,0,0,8
273,1,21,18,7,20,0,0,0,0,0,0,0,0,0,0,12,40,0,2,0,23
274,37,82,92,9,35,37,11,0,0,14,8,0,0,0,0,4,69,11,0,16,41
275,72,60,65,7,46,3,9,4,0,3,6,1,0,0,0,17,69,23,0,0,32
276,9,33,32,11,24,16,10,0,0,1,6,0,0,0,0,8,48,0,1,0,3
277,6,16,14,0,7,3,9,14,0,0,3,0,0,0,0,2,17,2,0,0,6
278,0,1,5,0,10,12,4,0,0,6,1,2,25,0,0,2,30,0,6,0,16
279,4,22,20,10,22,38,12,26,0,15,8,2,1,0,0,4,48,0,7,4,27
280,6,10,7,32,11,7,11,0,0,5,5,0,0,0,0,0,23,0,1,0,13
281,0,9,13,2,11,12,13,3,0,2,8,1,0,0,0,4,21,2,2,0,10
282,0,0,0,0,0,221,0,81,0,23,6,0,0,0,0,0,0,0,0,0,0
283,0,9,12,5,20,1,2,0,0,4,5,1,0,0,0,6,30,0,0,3,21
284,17,20,20,6,19,12,16,0,0,14,7,0,1,0,0,0,44,0,0,0,27
285,18,71,78,7,17,14,9,5,0,4,0,1,1,0,0,2,18,2,2,2,19
286,20,27,30,3,27,5,1,0,0,0,0,0,0,0,0,17,53,15,1,0,33
287,13,128,127,3,13,26,10,7,0,16,4,0,0,0,0,14,31,5,4,4,17
288,9,9,10,5,15,12,6,0,0,3,5,0,0,0,0,0,28,0,0,0,18
289,36,13,3,4,19,13,3,0,0,3,1,0,0,0,0,8,8,2,0,0,9
290,5,37,30,8,23,7,5,0,0,4,0,0,0,0,0,7,19,1,0,0,16
291,162,81,38,27,77,44,37,4,0,23,5,0,0,0,0,0,0,0,0,0,46
292,36,45,26,5,31,15,11,0,0,10,0,0,0,0,0,13,20,1,0,0,17
293,14,45,27,14,35,10,9,0,1,5,1,0,0,0,0,7,30,1,2,0,22
294,15,63,30,16,49,28,16,0,0,17,3,0,0,0,0,17,34,0,2,3,9
295,7,53,26,19,66,38,29,0,0,27,7,0,0,0,0,8,38,0,1,2,40
296,33,103,77,27,88,44,51,4,2,34,19,0,0,0,0,2,34,2,0,2,27
297,61,132,103,23,91,71,35,1,1,24,8,0,0,0,0,30,68,2,0,25,18
298,20,88,60,21,68,27,21,0,0,15,6,0,0,0,0,26,86,0,3,5,42
299,50,110,37,49,110,63,56,1,0,61,6,0,0,0,0,6,66,0,0,6,53
300,6,40,13,16,37,9,0,0,0,0,0,0,0,0,0,5,24,0,0,0,22
301,29,77,75,3,38,4,0,0,0,0,0,0,0,0,0,9,26,0,1,3,22
302,28,35,34,1,15,11,17,0,3,9,7,0,0,0,0,0,0,0,0,0,13
303,4,85,47,29,85,36,34,2,2,29,9,0,0,0,0,7,31,4,1,1,38
304,54,34,14,7,46,25,13,3,1,8,6,0,0,0,0,16,54,0,1,5,35
305,0,7,4,0,10,6,2,2,1,1,1,0,0,0,0,35,32,0,5,0,1
306,11,146,91,47,92,57,66,0,0,37,23,0,0,0,0,0,0,0,0,0,32
307,43,104,60,45,104,90,94,0,4,81,17,0,0,0,0,33,81,0,2,8,8
308,10,102,73,24,56,29,36,1,6,18,13,0,0,0,0,13,32,0,12,6,36
309,9,33,25,12,28,11,8,0,0,9,0,0,0,0,0,8,21,1,0,0,18
310,11,18,4,4,22,5,3,1,0,2,0,0,0,0,0,6,24,0,0,0,12
311,295,54,27,0,91,110,107,1,2,65,27,0,0,0,0,21,81,0,0,9,64
312,3,27,19,3,16,9,11,0,0,7,4,0,0,0,0,4,7,2,0,0,8
313,6,11,4,1,11,5,0,0,0,0,0,0,0,0,0,15,27,5,0,1,18
314,62,115,81,34,67,24,32,2,4,24,10,0,0,0,0,10,28,4,0,2,4
315,6,16,4,8,20,13,7,0,3,4,3,0,0,0,0,5,20,0,0,1,17
