,eid,gender,birth_year,edu_degree,course_category,course_type,course_duration,student_amount,course_amount,dropout_rate_of_course,dropout_rate_of_user,L_mean,L_var,L_skew,L_kurtosis,S_mean,S_var,S_skew,S_kurtosis,11,12,13,14,21,22,23,24,31,32,33,34,41,42,43,44
17,1223,0,,0,12,0,8899200,939,1.0,79,,58675.11,23230859341.71,2.89,7.33,25.94,2618.45,2.98,8.75,248,0,0,13,0,0,0,0,0,0,0,0,13,0,0,43
18,1297,1,8.0,4,12,0,8899200,939,,79,,153700.92,170941882835.08,2.94,6.81,31.08,2782.24,2.1,3.64,54,0,0,5,0,0,0,0,0,0,0,0,5,0,0,21
19,1300,0,,0,12,0,8899200,939,2.0,79,,105502.83,35203221566.14,1.68,0.99,11.93,804.07,3.04,7.77,5,0,0,3,0,0,0,0,0,0,0,0,3,0,0,22
20,1466,1,9.0,3,12,0,8899200,939,9.0,79,88.0,86701.79,42289094010.81,2.43,4.57,22.42,3124.49,3.12,9.04,71,0,0,22,0,0,0,0,0,0,0,0,22,0,0,96
21,1506,0,,0,12,0,8899200,939,1.0,79,,,,,,29.22,3067.51,2.09,2.83,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6
22,1513,0,,0,12,0,8899200,939,3.0,79,100.0,63953.83,49129415754.63,4.66,20.89,12.34,868.43,3.72,14.65,70,0,0,24,0,0,0,0,0,0,0,0,25,0,0,55
23,1520,0,,0,12,0,8899200,939,4.0,79,75.0,118285.33,18161354205.22,0.77,0.7,15.23,838.87,3.21,10.56,11,0,0,6,0,0,0,0,0,0,0,0,6,0,0,8
24,1544,1,9.0,6,12,0,8899200,939,1.0,79,,,,,,28.65,3891.88,2.52,4.81,7,0,0,3,0,0,0,0,0,0,0,0,3,0,0,6
25,1547,0,,0,12,0,8899200,939,1.0,79,,,,,,22.42,2445.69,2.96,8.87,23,0,0,3,0,0,0,0,0,0,0,0,4,0,0,10
26,1581,0,,0,12,0,8899200,939,2.0,79,,11231.87,1322691284.95,4.05,16.2,19.72,2275.45,3.85,16.12,113,0,0,31,0,0,0,0,0,0,2,3,31,0,3,82
27,1594,1,8.0,3,12,0,8899200,939,6.0,79,100.0,51951.23,17469010035.92,3.04,8.47,29.7,3515.08,2.59,5.94,104,0,0,20,0,0,0,0,0,0,1,2,21,0,2,67
28,1598,0,,3,12,0,8899200,939,1.0,79,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
29,1612,0,,0,12,0,8899200,939,1.0,79,,91391.33,25159984015.33,2.07,2.89,5.02,129.33,5.44,30.39,5,0,0,4,0,0,0,0,0,0,0,0,4,0,0,38
30,1659,0,,0,12,0,8899200,939,4.0,79,100.0,117449.39,38118760966.13,1.73,1.63,12.37,1382.78,4.87,24.47,127,0,0,15,0,0,0,0,0,0,0,1,14,0,1,69
31,1675,0,,0,12,0,8899200,939,3.0,79,100.0,788.0,38040.5,0.37,1.22,15.74,1639.62,4.15,18.33,25,0,0,2,0,0,0,0,0,0,0,0,2,0,0,9
32,1694,1,8.0,5,12,0,8899200,939,2.0,79,,41941.18,41071290598.89,5.6,30.62,27.42,3358.35,2.65,6.11,155,0,0,14,0,0,0,0,0,0,0,0,14,0,0,47
33,1695,0,,0,12,0,8899200,939,1.0,79,,110243.75,80899439850.44,2.27,3.14,10.96,279.88,1.94,2.92,32,0,0,4,0,0,0,0,0,0,0,0,4,0,0,17
34,1779,1,9.0,6,12,0,8899200,939,4.0,79,75.0,96777.88,32527591743.47,2.22,4.05,17.03,2060.45,3.91,15.6,169,0,0,26,0,0,0,0,0,0,0,0,26,0,0,99
35,1852,0,,0,12,0,8899200,939,,79,,88457.7,69505168187.34,3.43,10.4,14.96,1431.35,4.65,25.39,274,0,0,7,0,0,0,0,0,0,0,0,6,0,0,13
36,1921,0,,0,12,0,8899200,939,,79,,107682.4,45545169889.84,1.5,0.25,7.47,160.59,3.37,13.03,20,0,0,4,0,0,0,0,0,0,0,0,5,0,0,28
37,2019,1,8.0,3,12,0,8899200,939,18.0,79,94.0,209165.43,120725813747.1,1.28,0.0,2.42,7.08,2.15,5.01,10,0,0,4,0,0,0,0,0,0,0,0,4,0,0,12
38,2026,2,9.0,3,12,0,8899200,939,1.0,79,,231454.44,182522765242.91,1.74,1.52,14.65,677.52,3.11,11.49,19,0,0,7,0,0,0,0,0,0,0,0,7,0,0,23
39,2043,0,,4,12,0,8899200,939,1.0,79,,,,,,12.0,54.5,0.0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
40,2069,2,9.0,6,12,0,8899200,939,6.0,79,83.0,85659.25,21753922966.69,1.15,0.67,30.72,3896.34,2.32,4.0,23,0,0,1,0,0,0,0,0,0,0,0,2,0,0,6
41,2073,0,,0,12,0,8899200,939,3.0,79,66.0,137021.25,196990342506.19,3.01,7.09,24.74,2648.15,2.88,8.57,55,0,0,8,0,0,0,0,0,0,0,0,8,0,0,32
42,2078,0,,0,12,0,8899200,939,4.0,79,50.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
43,2129,0,,0,12,0,8899200,939,28.0,79,71.0,49520.57,13356055080.82,2.04,2.16,34.58,4661.03,2.43,4.85,27,0,0,4,0,0,0,0,0,0,0,0,4,0,0,14
44,2192,1,,0,12,0,8899200,939,2.0,79,,114426.94,20177450745.18,0.8,1.03,30.19,3460.05,2.81,7.53,42,0,0,7,0,0,0,0,0,0,0,0,7,0,0,37
45,2193,1,8.0,4,12,0,8899200,939,12.0,79,91.0,21263.12,2155834110.44,2.32,4.28,12.3,1632.87,4.17,17.22,58,0,0,10,0,0,0,0,0,0,0,0,10,0,0,60
46,2232,0,,0,12,0,8899200,939,2.0,79,,,,,,4.17,20.03,1.35,0.74,7,0,0,2,0,0,0,0,0,0,0,0,3,0,0,8
47,2233,2,,0,12,0,8899200,939,,79,,48207.39,8876297065.9,2.21,4.17,18.95,2466.16,3.65,13.3,69,0,0,8,0,0,0,0,0,0,0,0,8,0,0,76
48,2258,0,,0,12,0,8899200,939,2.0,79,,96666.6,50766862633.44,3.68,13.53,16.79,2054.26,4.09,16.76,35,0,0,8,0,0,0,0,0,0,0,0,8,0,0,58
49,2259,1,9.0,0,12,0,8899200,939,3.0,79,100.0,367074.8,467541115752.96,1.49,0.23,19.74,2486.02,3.57,12.06,9,0,0,3,0,0,0,0,0,0,0,0,3,0,0,12
50,2264,0,,0,12,0,8899200,939,7.0,79,100.0,324977.25,315998601666.69,1.15,0.67,7.0,59.67,1.26,0.25,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4
51,2275,0,,0,12,0,8899200,939,2.0,79,,14927.98,1171312634.5,2.61,5.54,15.39,1466.13,4.1,18.77,174,1,0,27,0,1,0,2,0,0,0,0,29,1,0,101
52,2315,0,,0,12,0,8899200,939,1.0,79,,27973.0,2614726962.67,1.54,0.63,31.98,3704.59,2.56,6.2,39,0,0,7,0,0,0,0,0,0,0,1,7,0,1,34
53,2337,0,,0,12,0,8899200,939,1.0,79,,16245.32,3227588140.4,3.9,14.03,18.22,2138.1,3.63,13.18,296,0,0,17,0,0,0,0,0,0,0,0,17,0,0,76
54,2357,2,9.0,3,12,0,8899200,939,1.0,79,,88291.12,53896261245.11,2.27,3.14,46.72,4742.2,1.94,3.04,26,0,0,3,0,0,0,0,0,0,0,0,3,0,0,7
55,2379,1,5.0,3,12,0,8899200,939,7.0,79,85.0,87137.14,88662442349.74,3.91,14.01,19.56,2464.18,3.33,10.17,53,0,0,8,0,0,0,0,0,0,0,0,8,0,0,35
56,2380,1,9.0,6,12,0,8899200,939,5.0,79,80.0,341493.29,693557913618.78,2.04,2.17,17.6,2681.19,4.13,17.62,14,0,0,6,0,0,0,0,0,0,0,0,7,0,0,19
57,2406,1,8.0,5,12,0,8899200,939,,79,,191131.47,48213997184.52,1.16,0.31,10.53,526.84,3.44,11.08,2,0,0,3,0,0,0,0,0,0,0,0,3,0,0,40
58,2467,1,9.0,3,12,0,8899200,939,2.0,79,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2468,2,9.0,3,12,0,8899200,939,2.0,79,,,,,,27.36,2793.5,2.98,9.21,14,0,0,2,0,0,0,0,0,0,0,0,2,0,0,15
60,2474,1,8.0,3,12,0,8899200,939,2.0,79,,134261.53,51878838153.2,1.32,0.0,28.4,3825.09,2.86,7.76,85,0,0,8,0,0,0,0,0,0,0,1,8,0,1,61
61,2477,0,,0,12,0,8899200,939,4.0,79,50.0,586.4,50820.24,1.25,0.1,14.87,2333.45,4.28,16.81,21,0,0,8,0,0,0,0,0,0,0,0,9,0,0,11
62,2492,2,9.0,3,12,0,8899200,939,5.0,79,60.0,66179.49,35469534194.95,2.89,6.95,46.17,4718.13,1.82,2.42,126,0,0,7,0,0,0,0,0,0,0,0,7,0,0,11
63,2494,1,8.0,3,12,0,8899200,939,2.0,79,,,,,,7.83,33.81,0.67,1.5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
64,2554,2,9.0,3,12,0,8899200,939,8.0,79,100.0,7639.0,236973019.78,2.33,3.66,18.33,2254.0,3.48,11.91,65,0,0,10,0,0,0,0,0,0,0,0,10,0,0,32
65,2563,0,,0,12,0,8899200,939,8.0,79,87.0,,,,,6.94,47.27,2.03,4.02,15,0,0,2,0,0,0,0,0,0,0,0,3,0,0,13
66,2574,1,9.0,3,12,0,8899200,939,12.0,79,58.0,306656.7,189102224401.21,1.55,1.22,5.0,21.71,1.6,1.89,3,0,0,5,0,0,0,0,0,0,0,0,5,0,0,10
67,2840,0,,0,17,0,10681200,344,1.0,82,,10355.45,1095668916.25,3.93,15.41,26.34,3499.97,2.9,7.69,135,0,0,43,0,0,0,0,0,0,0,0,43,0,0,1
68,2885,1,9.0,3,17,0,10681200,344,3.0,82,100.0,98319.56,65450651062.47,2.45,4.06,17.06,1949.38,3.9,16.29,115,4,0,17,3,86,0,16,0,0,0,0,18,15,0,51
69,2933,1,9.0,3,17,0,10681200,344,1.0,82,,90327.5,74905928848.35,3.65,12.22,19.03,1699.01,3.44,13.62,185,0,0,33,0,5,0,5,0,0,0,0,33,5,0,71
70,2944,1,8.0,4,17,0,10681200,344,10.0,82,60.0,523719.5,271274918326.25,0.44,1.42,20.35,1374.23,2.5,6.05,8,0,0,2,0,2,0,1,0,0,0,0,2,1,0,27
71,2955,1,,4,17,0,10681200,344,20.0,82,90.0,,,,,10.2,313.96,2.43,4.34,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,4
72,2972,0,,0,17,0,10681200,344,1.0,82,,7392.57,254969267.39,2.04,2.15,15.39,1572.03,3.89,15.24,76,1,0,18,1,2,0,0,0,0,0,0,18,0,0,25
73,2987,0,,0,17,0,10681200,344,1.0,82,,,,,,17.26,1090.53,2.31,3.73,10,0,0,4,0,0,0,0,0,0,0,0,5,0,0,15
74,3087,0,,0,17,0,10681200,344,1.0,82,,120800.33,88819507805.56,2.43,3.98,11.81,1239.47,5.45,30.8,22,8,0,5,1,90,0,9,0,0,0,0,12,2,0,31
75,3098,1,,0,17,0,10681200,344,1.0,82,,103594.86,46589205672.12,2.33,4.23,18.62,2197.88,3.68,13.78,132,4,0,18,3,29,0,3,0,0,0,0,20,2,0,24
76,3199,0,,0,17,0,10681200,344,2.0,82,,133043.36,76516124533.41,2.61,6.53,13.34,1285.93,4.53,23.15,135,22,0,7,6,226,0,22,0,0,0,0,24,6,0,59
77,3217,0,,0,17,0,10681200,344,1.0,82,,,,,,5.44,22.25,0.67,0.67,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2
78,3223,0,,0,17,0,10681200,344,7.0,82,100.0,197791.17,156987446570.14,1.89,2.1,26.13,2760.78,2.81,7.51,72,0,0,8,0,0,0,0,0,0,0,0,9,0,0,9
79,3323,2,9.0,3,17,0,10681200,344,2.0,82,,90019.0,98092685167.27,4.28,16.6,30.34,1777.1,2.57,7.71,427,0,0,13,0,0,0,0,0,0,0,0,13,0,0,36
80,3329,0,,0,17,0,10681200,344,1.0,82,,,,,,12.42,662.35,2.94,8.4,18,3,0,1,2,18,0,1,0,0,0,0,2,1,0,9
81,3378,1,7.0,3,17,0,10681200,344,19.0,82,15.0,,,,,6.14,28.41,0.68,0.92,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5
82,3433,0,,0,17,0,10681200,344,3.0,82,66.0,,,,,55.17,9986.47,1.77,1.16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
83,3509,2,8.0,7,17,0,10681200,344,1.0,82,,,,,,10.43,363.38,2.58,5.84,7,1,0,4,0,2,0,1,0,0,0,0,6,0,0,22
84,3517,0,,0,17,0,10681200,344,1.0,82,,23993.25,1616003572.19,1.15,0.67,34.79,4578.81,2.07,3.33,12,0,0,4,0,0,0,0,0,0,0,0,4,0,0,11
85,4094,1,8.0,5,8,0,40750200,992,1.0,83,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
86,4140,1,8.0,3,8,0,40750200,992,1.0,83,,71105.53,22724359950.25,2.09,3.03,15.94,2226.94,4.0,15.42,29,0,0,18,0,0,0,0,0,0,0,0,19,0,0,16
87,4197,2,8.0,3,8,0,40750200,992,4.0,83,100.0,66747.67,34469917256.0,2.47,4.12,16.16,1637.96,3.78,15.46,217,13,0,53,13,77,0,11,0,0,0,0,54,11,0,99
88,4328,2,9.0,3,8,0,40750200,992,7.0,83,85.0,,,,,7.2,142.16,1.49,0.23,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
89,4350,0,,0,8,0,40750200,992,1.0,83,,108939.48,84593805988.03,3.92,15.38,17.11,1948.63,3.86,15.84,145,8,0,40,8,54,0,7,0,0,0,0,41,7,0,88
90,4367,2,,0,8,0,40750200,992,1.0,83,,113889.62,89734574214.98,2.27,3.14,16.51,1543.62,4.2,20.03,240,10,0,29,9,52,0,7,0,0,0,0,30,6,0,26
91,4372,0,,0,8,0,40750200,992,1.0,83,,70387.48,48599110279.06,4.18,16.95,15.97,1521.16,4.28,20.63,72,8,0,22,6,78,0,8,0,0,0,0,24,6,0,67
92,4409,0,,0,8,0,40750200,992,6.0,83,100.0,35166.0,4096200765.2,1.49,0.23,13.57,1293.03,3.53,12.52,8,0,0,5,0,0,0,0,0,0,0,0,6,0,0,13
93,4454,2,8.0,3,8,0,40750200,992,,83,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
94,4519,0,,0,8,0,40750200,992,1.0,83,,129076.53,39492661226.37,2.25,4.72,23.66,1789.4,2.72,7.4,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0
95,4576,0,,0,8,0,40750200,992,1.0,83,,397528.4,191963181290.64,1.33,0.01,32.19,2163.96,2.67,7.23,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
96,4603,1,9.0,6,8,0,40750200,992,10.0,83,90.0,8952.67,472261699.56,2.43,3.99,6.35,727.26,6.97,53.48,162,1,0,18,1,0,0,0,0,0,0,0,19,0,0,19
97,4648,2,7.0,3,8,0,40750200,992,1.0,83,,,,,,37.73,7757.47,2.26,3.31,11,0,0,4,0,0,0,1,0,0,0,0,5,0,0,2
98,4697,1,8.0,7,8,0,40750200,992,8.0,83,87.0,85358.46,27575097398.13,2.44,5.1,18.66,2161.12,3.59,13.48,114,3,0,43,3,77,0,7,0,0,0,0,44,7,0,85
99,4709,0,,0,8,0,40750200,992,1.0,83,,56278.41,11506502841.55,2.15,3.76,20.07,1747.44,3.72,15.73,0,0,0,0,0,368,0,0,0,0,0,0,0,1,0,0
100,4715,2,8.0,4,8,0,40750200,992,2.0,83,,127556.43,44966561225.46,2.5,6.55,22.95,1577.6,3.76,17.11,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0
101,4857,0,,0,8,0,40750200,992,1.0,83,,,,,,8.14,9.27,0.14,1.27,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2
102,4965,2,9.0,3,8,0,40750200,992,41.0,83,85.0,304097.9,376455695467.29,2.37,4.08,14.61,696.79,2.81,8.24,30,1,0,8,1,17,0,5,0,0,0,0,9,4,0,29
103,4966,0,,0,8,0,40750200,992,,83,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,5011,1,8.0,6,8,0,40750200,992,1.0,83,,59470.94,2656566305.81,0.52,0.07,12.04,992.91,5.18,30.14,38,1,0,19,0,0,0,1,0,0,0,0,19,0,0,6
105,5023,0,,0,8,0,40750200,992,5.0,83,80.0,,,,,20.12,1342.11,1.82,1.8,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,10
106,5135,0,,0,8,0,40750200,992,2.0,83,,,,,,5.89,172.99,2.45,4.06,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3
107,5155,0,,0,8,0,40750200,992,1.0,83,,39461.0,13090920274.52,4.02,16.18,32.17,2888.46,2.84,8.45,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0
108,5158,1,9.0,3,8,0,40750200,992,1.0,83,,,,,,9.21,244.05,2.39,5.55,1,0,0,9,0,3,0,2,0,0,0,0,9,2,0,6
109,5199,2,9.0,0,8,0,40750200,992,13.0,83,53.0,,,,,19.55,1596.69,2.82,8.28,73,10,0,8,8,44,0,3,0,0,0,0,10,1,0,16
110,5201,0,,0,8,0,40750200,992,17.0,83,88.0,120958.72,33992366414.68,1.59,1.54,10.84,1664.95,5.4,30.42,19,1,0,27,0,70,0,30,0,0,0,0,28,29,0,133
111,5213,2,,3,8,0,40750200,992,4.0,83,100.0,34378.0,12637899980.11,5.89,36.91,12.95,1693.41,4.84,24.21,122,8,0,49,4,61,0,13,0,0,0,0,53,9,0,61
112,5220,0,,0,8,0,40750200,992,,83,,,,,,43.92,5145.24,1.78,1.68,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4
113,5260,0,,0,8,0,40750200,992,1.0,83,,,,,,2.75,9.19,1.15,0.67,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
114,5292,1,8.0,3,8,0,40750200,992,2.0,83,,145185.29,72869229377.35,2.43,4.49,30.93,2969.92,2.69,7.36,0,1,0,3,0,131,0,10,0,0,0,0,4,9,0,27
115,5331,2,9.0,4,8,0,40750200,992,27.0,83,62.0,,,,,9.55,343.88,2.65,5.4,2,0,0,2,1,0,0,1,0,0,0,0,1,2,0,3
116,5364,1,9.0,7,8,0,40750200,992,2.0,83,,,,,,18.08,622.53,2.22,4.06,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
117,5500,0,,0,8,0,40750200,992,1.0,83,,34399.0,1984540944.8,0.85,0.92,15.34,978.98,2.98,8.76,1,2,0,1,2,10,0,0,0,0,0,0,1,0,0,19
118,5501,2,7.0,4,8,0,40750200,992,15.0,83,66.0,394258.17,404266732211.81,1.4,0.34,7.5,242.03,3.03,9.95,3,2,0,5,0,19,0,4,0,0,0,0,7,3,0,8
119,5591,0,,0,8,0,40750200,992,,83,,34587.75,3351527426.19,1.15,0.67,7.3,1003.98,7.04,49.79,69,2,0,17,3,5,0,6,0,0,0,0,17,7,0,49
120,5608,1,9.0,6,8,0,40750200,992,4.0,83,100.0,122249.79,110152263218.03,2.99,7.48,28.67,2487.07,2.46,6.53,176,18,0,32,17,144,0,17,0,0,0,0,33,16,0,37
121,5611,1,8.0,3,8,0,40750200,992,6.0,83,100.0,,,,,1.7,1.61,0.28,1.03,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3
122,5620,1,9.0,0,8,0,40750200,992,5.0,83,80.0,,,,,16.3,965.72,3.83,16.12,24,9,0,8,7,17,0,4,0,0,0,0,11,1,0,8
123,5635,0,,0,8,0,40750200,992,1.0,83,,135399.72,105354608784.76,3.09,8.83,32.88,2707.34,2.74,7.67,5,0,0,1,0,147,0,0,0,0,0,0,1,1,0,7
124,5706,0,,0,8,0,40750200,992,,83,,129813.62,116157244487.98,2.27,3.14,7.7,461.5,5.46,33.69,28,1,0,14,0,4,0,1,0,0,0,0,16,0,0,19
125,5729,2,9.0,0,8,0,40750200,992,4.0,83,75.0,,,,,2.2,4.16,0.15,1.63,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1
126,5743,0,,0,8,0,40750200,992,7.0,83,85.0,90735.38,155897827885.65,4.54,18.74,10.87,1313.93,5.12,29.29,62,0,0,28,0,0,0,0,0,0,0,0,29,0,0,23
127,5745,1,9.0,0,8,0,40750200,992,6.0,83,66.0,108058.1,71512643523.29,2.57,4.78,25.61,2585.32,3.12,10.11,181,9,0,12,3,42,0,7,0,0,0,0,19,1,0,9
128,5817,0,,0,8,0,40750200,992,1.0,83,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,5830,0,,0,8,0,40750200,992,2.0,83,,,,,,18.44,354.25,2.29,5.0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
130,5868,2,9.0,0,8,0,40750200,992,1.0,83,,,,,,5.5,101.35,2.1,3.21,2,1,0,4,0,4,0,1,0,0,0,0,6,0,0,2
131,5939,2,,3,8,0,40750200,992,2.0,83,,59250.67,9796581869.56,1.57,0.74,22.91,2107.31,3.14,9.76,33,0,0,6,0,0,0,0,0,0,0,0,5,0,0,8
132,5967,2,5.0,5,8,0,40750200,992,2.0,83,,42622.98,8001009491.83,2.52,5.84,16.2,1654.9,4.42,21.81,99,24,0,60,15,95,0,20,0,0,0,0,69,11,0,32
133,6047,1,9.0,3,8,0,40750200,992,23.0,83,78.0,440069.6,51771719345.04,1.23,0.12,8.94,425.05,3.38,10.32,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,18
134,6061,1,9.0,3,8,0,40750200,992,1.0,83,,243206.64,159083198210.41,1.67,1.66,13.75,2188.12,4.79,22.99,14,3,0,16,1,50,0,3,0,0,0,0,18,2,0,17
135,6133,2,8.0,3,8,0,40750200,992,3.0,83,66.0,,,,,8.5,96.75,0.66,1.18,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2
136,6195,1,7.0,3,8,0,40750200,992,3.0,83,100.0,209484.82,121086060466.69,1.65,1.55,15.37,1489.16,4.36,21.46,53,7,0,16,7,32,0,5,0,0,0,0,16,5,0,12
137,6242,0,,0,8,0,40750200,992,1.0,83,,,,,,10.2,270.16,1.48,0.23,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
138,6546,2,9.0,3,12,0,9172800,247,3.0,74,100.0,119758.14,35885997430.41,1.66,1.64,22.76,1507.0,3.25,13.84,175,1,0,14,0,8,0,6,0,0,0,0,15,5,0,34
139,6547,0,,0,12,0,9172800,247,1.0,74,,88328.0,29141305895.6,1.5,0.25,18.17,1306.28,2.45,4.64,5,0,0,4,1,14,0,2,0,0,0,0,3,3,0,1
140,6580,1,9.0,3,12,0,9172800,247,,74,,319442.17,121659917168.47,0.54,1.53,15.68,1593.0,4.22,20.28,54,2,0,8,0,3,0,4,0,0,0,0,10,2,0,27
141,6678,0,,0,12,0,9172800,247,,74,,1577.88,5017521.36,1.67,1.25,5.78,420.98,9.32,95.56,773,0,0,23,0,0,0,0,0,0,0,0,24,0,0,20
142,6691,1,9.0,3,12,0,9172800,247,11.0,74,81.0,,,,,21.24,3035.8,3.3,10.43,21,0,0,8,0,0,0,0,0,0,0,0,8,0,0,7
143,6712,0,,0,12,0,9172800,247,,74,,,,,,45.33,4519.78,2.01,2.61,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,5
144,6717,2,8.0,3,12,0,9172800,247,5.0,74,40.0,,,,,25.4,5456.84,2.67,5.11,0,1,0,2,0,0,0,3,0,0,0,0,3,2,0,1
145,6727,0,,0,12,0,9172800,247,14.0,74,85.0,,,,,20.39,3343.15,3.01,7.58,50,0,0,21,0,0,0,0,0,0,0,0,21,0,0,18
146,6767,2,8.0,3,12,0,9172800,247,3.0,74,66.0,,,,,46.33,7325.56,1.68,0.99,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0
147,6795,2,6.0,3,12,0,9172800,247,8.0,74,50.0,680.67,61485.89,0.83,0.09,20.1,2115.06,3.1,9.44,0,0,0,0,0,14,0,3,0,0,0,0,0,3,0,14
148,6833,0,,0,12,0,9172800,247,4.0,74,25.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
